ID,Title,OPN,CON,EXT,AGR,NEU,Clusters,,,,,
180,Ù†Ù…ÙˆÙ†Ù‡ Ø§Ø´Ø¹Ø§Ø± Ø±ÙˆØ¯Ú©ÛŒ (Paperback),0,0,0,0,0, ,,,,,
181,The Saga Hoard - Volume 1 (Kindle Edition),0,0,0,0,0, ,,,,,
182,Jitterbug Perfume (Paperback),4.208853735,3.433799785,3.317872374,3.650395819,2.559663935, ,,,,,
183,Jerusalem: The Biography (Hardcover),4.21083071,3.473410491,3.284936806,3.619782712,2.531603229, ,,,,,
184,"My Fair Viking (Viking I, #6)",4.114328552,3.431487259,3.285363557,3.578084039,2.661133198, ,,,,,
185,"GAMELAND Episodes 1-2 (GAMELAND, #1-2)",4.183764427,3.333730648,3.285887806,3.567442199,2.589656081, ,,,,,
186,The Buried Giant (Hardcover),4.288057106,3.384232344,3.418842041,3.640407107,2.512681918, ,,,,,
187,"The Bewitched Viking (Viking  I, #4)",4.175176976,3.37235704,3.241920927,3.623865057,2.731351981, ,,,,,
188,The Passion of Dolssa (Hardcover),4.218853691,3.413695416,3.366422949,3.654338459,2.623529473, ,,,,,
189,"Norseman's Oath (The Norseman Chronicles, #5)",4.167977043,3.611841286,3.328082567,3.617886192,2.633682525, ,,,,,
190,"Norseman Raider (The Norseman Chronicles, #4)",4.144948528,3.379826957,3.220359439,3.506059481,2.695391895, ,,,,,
191,"The Last Viking (Viking II, #1)",4.191216541,3.418648194,3.270138025,3.628469552,2.615503478, ,,,,,
192,"The Blue Viking (Viking I, #5)",4.166213476,3.340108056,3.245038337,3.630480225,2.683735506, ,,,,,
193,"The Reluctant Viking (Viking I, #1)",4.056366393,3.476373894,3.273533746,3.54913891,2.638008623, ,,,,,
194,Crown and Country: A History of England Through the Monarchy (Hardcover),4.196103973,3.428730779,3.276242594,3.643021141,2.590963159, ,,,,,
195,From Moon Cakes to Mao to Modern China: An Introduction to Chinese Civilization (Hardcover),4.149802373,3.353573564,3.282545846,3.618517741,2.666948175, ,,,,,
196,The Guide for the Perplexed (Paperback),4.276404021,3.566089892,3.334978087,3.617480777,2.529884941, ,,,,,
197,The Norman Conquest (Hardcover),4.146802602,3.446792686,3.300781297,3.568258409,2.544710528, ,,,,,
198,Watermark: A Novel of the Middle Ages (Paperback),4.228677574,3.555988729,3.298441455,3.581092296,2.572984341, ,,,,,
199,The Anglo Saxon Chronicle (Paperback),4.228854853,3.460994538,3.255414597,3.61247098,2.586174898, ,,,,,
200,Sarum: The Novel of England (Paperback),4.184762621,3.509645119,3.348629291,3.609872584,2.575507945, ,,,,,
201,"The Story of the Jews: Finding the Words, 1000 BCE â€“ 1492 CE (Hardcover)",4.216154936,3.577231442,3.284012528,3.547654006,2.478932564, ,,,,,
202,The Battle of Maldon (Paperback),4.389437188,3.649899983,3.363579818,3.590015678,2.426113317, ,,,,,
203,Honor's Splendour (Mass Market Paperback),4.160918521,3.481879414,3.408508219,3.624807547,2.676590355, ,,,,,
204,The Lions of Al-Rassan (Paperback),4.244504133,3.467568307,3.417273807,3.670828495,2.557239232, ,,,,,
205,The Word Exchange: Anglo-Saxon Poems in Translation (Hardcover),4.280599014,3.492866262,3.217498599,3.651655385,2.550101631, ,,,,,
206,"The Crown (Joanna Stafford, #1)",4.199686082,3.425496608,3.327303282,3.537328637,2.577934932, ,,,,,
207,In Search of the Dark Ages (Paperback),4.227524404,3.434166496,3.348710937,3.61554923,2.535588938, ,,,,,
208,Pope Joan (Paperback),4.21880232,3.516123991,3.353708048,3.592424125,2.567777783, ,,,,,
209,Queen Defiant (Paperback),4.25911252,3.481182936,3.245859617,3.588285419,2.645220636, ,,,,,
210,Shadow on the Crown (The Emma of Normandy Trilogy #1),4.192446088,3.447449413,3.314595746,3.549575737,2.553540483, ,,,,,
211,I Am the Chosen King (Saxon #1),4.217941272,3.458640661,3.379538378,3.623855428,2.519177518, ,,,,,
212,The Forever Queen (Saxon #2),4.22279354,3.445699841,3.274029169,3.65504981,2.599736801, ,,,,,
213,Queen Hereafter: A Novel of Margaret of Scotland (Hardcover),4.231924465,3.493358804,3.328534616,3.668067358,2.618449642, ,,,,,
214,"The Bastard King (Norman Trilogy, #1)",4.200599866,3.448184266,3.34308648,3.669185452,2.605148645, ,,,,,
215,The Song of Roland (Paperback),4.210492725,3.52381173,3.240357946,3.552793026,2.44381847, ,,,,,
